symb,name,Purpose,Secondary,Region,Algorithm,Binance,Poloniex,Huobi
BTC,Bitcoin,Currency,Coinbase,,POW,,,
ETH,Ethereum,Platform,Coinbase,,POS,,,
XRP,XRP,Banking,,,CENTRALIZED,,,
BCH,BitcoinCash,Currency,Coinbase,,POW,,,
EOS,EOS,Platform,,,POS,,,
LTC,Litecoin,Currency,Coinbase,,POW,,,
XLM,Stellar,Banking,,,POS,,,
ADA,Cardano,Platform,,,,,,
MIOTA,IOTA,IoT,,,DAG,,,
USDT,Tether,Stablecoin,,,NA,,,
TRX,TRON,Scam,,Asia,POS,,,
NEO,NEO,Platform,,Asia,DPOS,,,
XMR,Monero,Currency,Privacy,,,,,
DASH,Dash,Currency,Privacy,,,,,
ETC,EthereumClassic,Platform,,,POW,,,
XEM,NEM,,,,,,,
BNB,BinanceCoin,Exchange Token,DEX,Asia,POS,,,
VEN,VeChain,,,Asia,POS,,,
XTZ,Tezos,Platform,,,POS,,,
OMG,OmiseGO,Banking,,Asia,POS,,,
QTUM,Qtum,Platform,,,,,,
ZEC,Zcash,Currency,Privacy,,POW,,,
ONT,Ontology,Governance,NEO ICO,Asia,,,,
ICX,ICON,Platform,,Asia,,,,
ZIL,Zilliqa,Scalability,,,,,,
LSK,Lisk,Platform,,,,,,
BCN,Bytecoin,,,,,,,
ZRX,0x,DEX,,,,,,
DCR,Decred,Currency,,,,,,
BTG,BitcoinGold,Fork Coin,,,,,,
AE,Aeternity,,,,,,,
BTS,BitShares,Platform,,,,,,
STEEM,Steem,Online Media,,,,,,
SC,Siacoin,,,,,,,
REP,Augur,,,,,,,
BTM,Bytom,,,,,,,
XVG,Verge,Scam,Privacy,,,,,
MKR,Maker,Stablecoin,,,,,,
NPXS,PundiX,,,,,,,
NANO,Nano,IoT,,,DAG,,,
DGB,DigiByte,,,,,,,
BCD,BitcoinDiamond,Fork Coin,,,,,,
DOGE,Dogecoin,Currency,Alts Indicator,,,,,
WAVES,Waves,Platform,,,,,,
GNT,Golem,Computation,,,,,,
PPT,Populous,,,,,,,
SNT,Status,,,,,,,
WAN,Wanchain,Interoperability,,Asia,,,,
STRAT,Stratis,,,,,,,
BAT,BasicAttenti...,Online Media,,,,,,
RHOC,RChain,,,,,,,
HSR,Hshare,,,,,,,
KCS,KuCoinShares,Exchange Token,,Asia,,,,
WTC,Waltonchain,Supply Chain,,Asia,,,,
BTCP,BitcoinPrivate,Fork Coin,Privacy,,,,,
NAS,Nebulas,,,,,,,
IOST,IOST,,,,,,,
XIN,Mixin,,,,,,,
DGD,DigixDAO,Security,,,,,,
LRC,Loopring,,,Asia,,,,
GXS,GXChain,,,,,,,
HT,HuobiToken,Exchange Token,,Asia,,,,
AION,Aion,Interoperability,,Asia,,,,
MITH,Mithril,,,,,,,
ELF,aelf,,,,,,,
KMD,Komodo,Platform,,,,,,
ARDR,Ardor,,,,,,,
ARK,Ark,,,,,,,
MAID,MaidSafeCoin,,,,,,,
BNT,Bancor,,,,,,,
LOOM,LoomNetwork,,,,,,,
FUN,FunFair,Gaming,,,,,,
MCO,Monaco,Scam,,,,,,
MONA,MonaCoin,Currency,,Asia,,,,
RDD,ReddCoin,eCommerce,,,,,,
ETHOS,Ethos,,,,,,,
KNC,KyberNetwork,,,,,,,
DCN,Dentacoin,,,,,,,
GAS,Gas,Platform,,Asia,,,,
CNX,Cryptonex,,,,,,,
CMT,CyberMiles,,,,,,,
VERI,Veritaseum,Scam,,,,,,
EMC,Emercoin,,,,,,,
CTXC,Cortex,,,,,,,
ELA,Elastos,,,,,,,
PIVX,PIVX,Currency,Privacy,,,,,
DROP,Dropil,,,,,,,
ENG,Enigma,,,,,,,
POLY,Polymath,Security,,,,,,
KIN,Kin,eCommerce,,,,,,
MOAC,MOAC,,,,,,,
THETA,ThetaToken,Online Media,,,,,,
MANA,Decentraland,Gaming,,,,,,
POWR,PowerLedger,Energy,,,,,,
FCT,Factom,,,,,,,
ETN,Electroneum,,,,,,,
NXT,Nxt,,,,,,,
WAX,WAX,,,,,,,
QASH,QASH,,,,,,,
SMART,SmartCash,,,,,,,
BIX,BiboxToken,,,,,,,
SYS,Syscoin,,,,,,,
PAYX,Paypex,,,,,,,
